Genomic Distance,Column1,Li 2017,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,avee
"9,796",9795660,1.43091,0.699203,0.88892,0.936979,0.788697,1.3073,0.849374,0.8916,0.992295,1.09067,0.857949,1.0845,0.963405,0.691461,1.03761,0.661445,1.09692,0.796896,0.843423,0.613069,0.9261313
"9,914",9913680,1.44865,0.683989,0.894742,0.944145,0.790619,1.30283,0.854744,0.899541,1.00672,1.09528,0.870231,1.08229,0.973039,0.69039,1.0348,0.658953,1.10146,0.79969,0.843283,0.612962,0.9294179
"10,032",10031700,1.46353,0.674408,0.901545,0.951509,0.792659,1.29692,0.860454,0.907081,1.01703,1.10159,0.880355,1.07735,0.981939,0.690902,1.03272,0.66068,1.1023,0.800889,0.84425,0.618957,0.9328534
"10,150",10149700,1.47926,0.664185,0.909725,0.959339,0.798771,1.29015,0.864392,0.916597,1.0278,1.10501,0.885107,1.07512,0.986987,0.68772,1.02957,0.661874,1.1044,0.805983,0.843636,0.622401,0.93590135
"10,268",10267700,1.49176,0.656984,0.922348,0.97296,0.808074,1.28354,0.864755,0.926135,1.03764,1.10852,0.891765,1.06645,0.990778,0.678421,1.0307,0.659934,1.10648,0.809929,0.845472,0.625182,0.93889135
"10,386",10385800,1.50485,0.648844,0.934511,0.983314,0.814803,1.27487,0.864437,0.939123,1.04457,1.11277,0.892939,1.05532,0.995133,0.671291,1.02903,0.658883,1.10942,0.811432,0.851285,0.623974,0.94103995
"10,504",10503800,1.52018,0.645858,0.948297,0.990699,0.822885,1.26647,0.869763,0.952789,1.05067,1.11725,0.893885,1.0423,0.999331,0.66539,1.02647,0.660864,1.11159,0.813073,0.857825,0.622883,0.9439236
"10,622",10621800,1.53346,0.645334,0.960189,0.996767,0.829649,1.26,0.875092,0.96581,1.05851,1.12199,0.897561,1.0291,1.00273,0.664007,1.02032,0.662775,1.11158,0.813831,0.864599,0.626101,0.94697025
"10,740",10739800,1.54563,0.64758,0.973222,1.00247,0.832437,1.25383,0.884887,0.979874,1.06383,1.12762,0.901679,1.01453,1.00603,0.662425,1.01193,0.666817,1.11183,0.813633,0.874181,0.629593,0.9502014
"10,858",10857800,1.55836,0.654613,0.985936,1.01282,0.834532,1.24826,0.897724,0.994222,1.0705,1.13264,0.907607,0.998651,1.01332,0.663494,1.00398,0.672355,1.1115,0.816057,0.888624,0.636547,0.9550871
"10,976",10975900,1.57184,0.661774,0.998382,1.02376,0.83498,1.24415,0.904704,1.00649,1.07864,1.14116,0.912645,0.981515,1.01989,0.663362,0.996841,0.680344,1.11108,0.816166,0.904084,0.642515,0.9597161
"11,094",11093900,1.58406,0.662807,1.01144,1.0378,0.833026,1.23805,0.912118,1.01868,1.0857,1.15103,0.918264,0.964706,1.02715,0.668059,0.991432,0.689013,1.10997,0.819288,0.917299,0.648341,0.96441165
"11,212",11211900,1.59794,0.661664,1.02175,1.04776,0.830475,1.23198,0.92048,1.02807,1.09185,1.16508,0.921768,0.94877,1.03546,0.677524,0.988944,0.695541,1.10692,0.821198,0.930863,0.655192,0.96896145
"11,330",11329900,1.61245,0.661216,1.03051,1.05738,0.825608,1.22538,0.927797,1.03865,1.09948,1.17723,0.922411,0.931373,1.04312,0.686033,0.982982,0.704239,1.10383,0.818317,0.943567,0.664382,0.97279775
